mx,my,desiredHeading, currentHeading, headingChange,,,,,,,,mx,my,
-4,15,0,326.93,33.07,,,-17.5,,-28,-18.9473684210526,,,,
-3,15,0,325.67,34.33,,,-17.5,,-27,-18.9473684210526,,,,
-4,15,0,326.93,33.07,,,-17.5,,-28,-18.9473684210526,,,,
-3,17,0,328.63,31.37,,,-15.5,,-27,-16.781954887218,,,,
-2,14,0,323.13,36.87,,,-18.5,,-26,-20.0300751879699,,,,
-5,16,0,328.47,31.53,,,-16.5,,-29,-17.8646616541353,,,,
0,18,0,327.03,32.97,,,-14.5,,-24,-15.6992481203008,,,,
-4,18,0,330.83,29.17,,,-14.5,,-28,-15.6992481203008,,,,
-2,19,0,331.19,28.81,,,-13.5,,-26,-14.6165413533835,,,,
-2,17,0,327.99,32.01,,,-15.5,,-26,-16.781954887218,,,,
-6,19,0,334.44,25.56,,,-13.5,,-30,-14.6165413533835,,,,
-4,20,0,335.06,24.94,,,-12.5,,-28,-13.5338345864662,,,,
-5,19,0,333.43,26.57,,,-13.5,,-29,-14.6165413533835,,,,
-5,19,0,333.43,26.57,,,-13.5,,-29,-14.6165413533835,,,,
-3,21,0,335.14,24.86,,,-11.5,,-27,-12.4511278195489,,,,
-3,21,0,335.14,24.86,,,-11.5,,-27,-12.4511278195489,,,,
-3,23,0,338.68,21.32,,,-9.5,,-27,-10.2857142857143,,,,
-4,24,0,341.97,18.03,,,-8.5,,-28,-9.20300751879699,,,,
-4,25,0,343.18,16.82,,,-7.5,,-28,-8.1203007518797,,,,
-3,23,0,338.68,21.32,,,-9.5,,-27,-10.2857142857143,,,,
-3,25,0,342.41,17.59,,,-7.5,,-27,-8.1203007518797,,,,
-2,26,0,344.62,15.38,,,-6.5,,-26,-7.03759398496241,,,,
-2,26,0,344.62,15.38,,,-6.5,,-26,-7.03759398496241,,,,
-2,27,0,345.96,14.04,,,-5.5,,-26,-5.95488721804511,,,,
-3,28,0,348.96,11.04,,,-4.5,,-27,-4.87218045112782,,,,
-2,30,0,352.88,7.13,,,-2.5,,-26,-2.70676691729323,,,,
-2,29,0,350.07,9.93,,,-3.5,,-26,-3.78947368421053,,,,
-2,29,0,350.07,9.93,,,-3.5,,-26,-3.78947368421053,,,,
-2,29,0,350.07,9.93,,,-3.5,,-26,-3.78947368421053,,,,
-2,31,0,354.29,5.71,,,-1.5,,-26,-1.62406015037594,,,,
-1,31,0,353.99,6.01,,,-1.5,,-25,-1.62406015037594,,,,
0,30,0,352.3,7.7,,,-2.5,,-24,-2.70676691729323,,,,
0,32,0,356.91,3.09,,,-0.5,,-24,-0.541353383458647,,,,
-1,33,0,358.49,1.51,,,0.5,,-25,0.541353383458647,,,,
-1,32,0,356.99,3.01,,,-0.5,,-25,-0.541353383458647,,,,
3,36,0,7.13,-7.13,,,3.5,,-21,3.78947368421053,,,,
1,34,0,1.64,-1.64,,,1.5,,-23,1.62406015037594,,,,
0,35,0,3.09,-3.09,,,2.5,,-24,2.70676691729323,,,,
3,36,0,7.13,-7.13,,,3.5,,-21,3.78947368421053,,,,
2,35,0,3.37,-3.37,,,2.5,,-22,2.70676691729323,,,,
2,36,0,6.71,-6.71,,,3.5,,-22,3.78947368421053,,,,
5,37,0,9.78,-9.78,,,4.5,,-19,4.87218045112782,,,,
3,36,0,7.13,-7.13,,,3.5,,-21,3.78947368421053,,,,
3,39,0,14.04,-14.04,,,6.5,,-21,7.03759398496241,,,,
3,39,0,14.04,-14.04,,,6.5,,-21,7.03759398496241,,,,
3,38,0,12.34,-12.34,,,5.5,,-21,5.95488721804511,,,,
4,41,0,19.54,-19.54,,,8.5,,-20,9.20300751879699,,,,
2,39,0,13.24,-13.24,,,6.5,,-22,7.03759398496241,,,,
4,38,0,12.72,-12.72,,,5.5,,-20,5.95488721804511,,,,
6,40,0,19.65,-19.65,,,7.5,,-18,8.1203007518797,,,,
6,41,0,21.45,-21.45,,,8.5,,-18,9.20300751879699,,,,
5,41,0,20.77,-20.77,,,8.5,,-19,9.20300751879699,,,,
6,41,0,21.45,-21.45,,,8.5,,-18,9.20300751879699,,,,
5,40,0,19.03,-19.03,,,7.5,,-19,8.1203007518797,,,,
7,41,0,22.93,-22.93,,,8.5,,-17,9.20300751879699,,,,
7,41,0,22.93,-22.93,,,8.5,,-17,9.20300751879699,,,,
9,41,0,25.56,-25.56,,,8.5,,-15,9.20300751879699,,,,
5,40,0,19.03,-19.03,,,7.5,,-19,8.1203007518797,,,,
9,41,0,25.56,-25.56,,,8.5,,-15,9.20300751879699,,,,
9,41,0,25.56,-25.56,,,8.5,,-15,9.20300751879699,,,,
10,42,0,30.58,-30.58,,,9.5,,-14,10.2857142857143,,,,
10,41,0,26.57,-26.57,,,8.5,,-14,9.20300751879699,,,,
10,42,0,30.58,-30.58,,,9.5,,-14,10.2857142857143,,,,
11,42,0,33.02,-33.02,,,9.5,,-13,10.2857142857143,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
11,42,0,33.02,-33.02,,,9.5,,-13,10.2857142857143,,,,
12,43,0,36.38,-36.38,,,10.5,,-12,11.3684210526316,,,,
14,43,0,41.19,-41.19,,,10.5,,-10,11.3684210526316,,,,
15,43,0,45,-45,,,10.5,,-9,11.3684210526316,,,,
14,42,0,39.09,-39.09,,,9.5,,-10,10.2857142857143,,,,
17,45,0,57.09,-57.09,,,12.5,,-7,13.5338345864662,,,,
17,45,0,57.09,-57.09,,,12.5,,-7,13.5338345864662,,,,
18,45,0,59.53,-59.53,,,12.5,,-6,13.5338345864662,,,,
16,45,0,52.59,-52.59,,,12.5,,-8,13.5338345864662,,,,
18,44,0,57.99,-57.99,,,11.5,,-6,12.4511278195489,,,,
18,44,0,57.99,-57.99,,,11.5,,-6,12.4511278195489,,,,
20,44,0,66.37,-66.37,,,11.5,,-4,12.4511278195489,,,,
20,44,0,66.37,-66.37,,,11.5,,-4,12.4511278195489,,,,
22,46,0,78.11,-78.11,,,13.5,,-2,14.6165413533835,,,,
21,46,0,75.26,-75.26,,,13.5,,-3,14.6165413533835,,,,
24,47,0,87.27,-87.27,,,14.5,,0,15.6992481203008,,,,
24,44,0,86.42,-86.42,,,11.5,,0,12.4511278195489,,,,
22,45,0,76.76,-76.76,,,12.5,,-2,13.5338345864662,,,,
25,45,0,93.37,-93.37,,,12.5,,1,13.5338345864662,,,,
27,46,0,101.89,-101.89,,,13.5,,3,14.6165413533835,,,,
26,45,0,96.71,-96.71,,,12.5,,2,13.5338345864662,,,,
27,48,0,100.3,-100.3,,,15.5,,3,16.781954887218,,,,
27,44,0,104.04,-104.04,,,11.5,,3,12.4511278195489,,,,
28,43,0,109.65,-109.65,,,10.5,,4,11.3684210526316,,,,
30,43,0,119.74,-119.74,,,10.5,,6,11.3684210526316,,,,
30,45,0,115.2,-115.2,,,12.5,,6,13.5338345864662,,,,
32,44,0,124.51,-124.51,,,11.5,,8,12.4511278195489,,,,
30,45,0,115.2,-115.2,,,12.5,,6,13.5338345864662,,,,
31,45,0,120.47,-120.47,,,12.5,,7,13.5338345864662,,,,
30,43,0,119.74,-119.74,,,10.5,,6,11.3684210526316,,,,
31,46,0,117.76,-117.76,,,13.5,,7,14.6165413533835,,,,
31,45,0,120.47,-120.47,,,12.5,,7,13.5338345864662,,,,
32,46,0,120.07,-120.07,,,13.5,,8,14.6165413533835,,,,
33,44,0,129.09,-129.09,,,11.5,,9,12.4511278195489,,,,
33,45,0,127.41,-127.41,,,12.5,,9,13.5338345864662,,,,
32,43,0,128.16,-128.16,,,10.5,,8,11.3684210526316,,,,
34,43,0,135,-135,,,10.5,,10,11.3684210526316,,,,
35,43,0,138.81,-138.81,,,10.5,,11,11.3684210526316,,,,
35,43,0,138.81,-138.81,,,10.5,,11,11.3684210526316,,,,
36,41,0,147.09,-147.09,,,8.5,,12,9.20300751879699,,,,
38,41,0,151.19,-151.19,,,8.5,,14,9.20300751879699,,,,
39,38,0,162.35,-162.35,,,5.5,,15,5.95488721804511,,,,
39,40,0,155.56,-155.56,,,7.5,,15,8.1203007518797,,,,
40,39,0,160.82,-160.82,,,6.5,,16,7.03759398496241,,,,
40,38,0,163.07,-163.07,,,5.5,,16,5.95488721804511,,,,
43,38,0,165.96,-165.96,,,5.5,,19,5.95488721804511,,,,
41,35,0,175.43,-175.43,,,2.5,,17,2.70676691729323,,,,
43,39,0,164.05,-164.05,,,6.5,,19,7.03759398496241,,,,
43,37,0,169.88,-169.88,,,4.5,,19,4.87218045112782,,,,
40,37,0,167.74,-167.74,,,4.5,,16,4.87218045112782,,,,
41,35,0,175.43,-175.43,,,2.5,,17,2.70676691729323,,,,
41,35,0,175.43,-175.43,,,2.5,,17,2.70676691729323,,,,
43,37,0,169.88,-169.88,,,4.5,,19,4.87218045112782,,,,
42,34,0,177.8,-177.8,,,1.5,,18,1.62406015037594,,,,
42,35,0,175.6,-175.6,,,2.5,,18,2.70676691729323,,,,
42,35,0,175.6,-175.6,,,2.5,,18,2.70676691729323,,,,
45,35,0,176.31,-176.31,,,2.5,,21,2.70676691729323,,,,
40,35,0,175.03,-175.03,,,2.5,,16,2.70676691729323,,,,
42,36,0,171.25,-171.25,,,3.5,,18,3.78947368421053,,,,
44,35,0,176.05,-176.05,,,2.5,,20,2.70676691729323,,,,
43,37,0,169.88,-169.88,,,4.5,,19,4.87218045112782,,,,
41,35,0,175.43,-175.43,,,2.5,,17,2.70676691729323,,,,
42,36,0,171.25,-171.25,,,3.5,,18,3.78947368421053,,,,
42,37,0,169.11,-169.11,,,4.5,,18,4.87218045112782,,,,
43,37,0,169.88,-169.88,,,4.5,,19,4.87218045112782,,,,
42,35,0,175.6,-175.6,,,2.5,,18,2.70676691729323,,,,
43,35,0,175.91,-175.91,,,2.5,,19,2.70676691729323,,,,
44,38,0,166.43,-166.43,,,5.5,,20,5.95488721804511,,,,
42,35,0,175.6,-175.6,,,2.5,,18,2.70676691729323,,,,
45,35,0,176.31,-176.31,,,2.5,,21,2.70676691729323,,,,
41,35,0,175.43,-175.43,,,2.5,,17,2.70676691729323,,,,
44,36,0,172.15,-172.15,,,3.5,,20,3.78947368421053,,,,
43,33,0,182.05,177.95,,,0.5,,19,0.541353383458647,,,,
44,37,0,170.22,-170.22,,,4.5,,20,4.87218045112782,,,,
42,36,0,171.25,-171.25,,,3.5,,18,3.78947368421053,,,,
42,36,0,171.25,-171.25,,,3.5,,18,3.78947368421053,,,,
43,36,0,171.87,-171.87,,,3.5,,19,3.78947368421053,,,,
43,36,0,171.87,-171.87,,,3.5,,19,3.78947368421053,,,,
43,36,0,171.87,-171.87,,,3.5,,19,3.78947368421053,,,,
42,36,0,171.25,-171.25,,,3.5,,18,3.78947368421053,,,,
41,35,0,175.43,-175.43,,,2.5,,17,2.70676691729323,,,,
43,35,0,175.91,-175.91,,,2.5,,19,2.70676691729323,,,,
43,36,0,171.87,-171.87,,,3.5,,19,3.78947368421053,,,,
43,36,0,171.87,-171.87,,,3.5,,19,3.78947368421053,,,,
44,35,0,176.05,-176.05,,,2.5,,20,2.70676691729323,,,,
43,34,0,177.95,-177.95,,,1.5,,19,1.62406015037594,,,,
44,36,0,172.15,-172.15,,,3.5,,20,3.78947368421053,,,,
42,37,0,169.11,-169.11,,,4.5,,18,4.87218045112782,,,,
43,35,0,175.91,-175.91,,,2.5,,19,2.70676691729323,,,,
44,36,0,172.15,-172.15,,,3.5,,20,3.78947368421053,,,,
44,37,0,170.22,-170.22,,,4.5,,20,4.87218045112782,,,,
43,35,0,175.91,-175.91,,,2.5,,19,2.70676691729323,,,,
43,36,0,171.87,-171.87,,,3.5,,19,3.78947368421053,,,,
43,36,0,171.87,-171.87,,,3.5,,19,3.78947368421053,,,,
41,35,0,175.43,-175.43,,,2.5,,17,2.70676691729323,,,,
45,34,0,178.15,-178.15,,,1.5,,21,1.62406015037594,,,,
44,38,0,166.43,-166.43,,,5.5,,20,5.95488721804511,,,,
44,32,0,183.95,176.05,,,-0.5,,20,-0.541353383458647,,,,
42,35,0,175.6,-175.6,,,2.5,,18,2.70676691729323,,,,
44,35,0,176.05,-176.05,,,2.5,,20,2.70676691729323,,,,
46,33,0,181.79,178.21,,,0.5,,22,0.541353383458647,,,,
46,35,0,176.42,-176.42,,,2.5,,22,2.70676691729323,,,,
44,34,0,178.03,-178.03,,,1.5,,20,1.62406015037594,,,,
46,32,0,183.58,176.42,,,-0.5,,22,-0.541353383458647,,,,
44,30,0,189.78,170.22,,,-2.5,,20,-2.70676691729323,,,,
45,31,0,187.35,172.65,,,-1.5,,21,-1.62406015037594,,,,
46,31,0,187.13,172.87,,,-1.5,,22,-1.62406015037594,,,,
45,29,0,192.72,167.28,,,-3.5,,21,-3.78947368421053,,,,
45,28,0,194.47,165.53,,,-4.5,,21,-4.87218045112782,,,,
45,26,0,199.54,160.46,,,-6.5,,21,-7.03759398496241,,,,
46,28,0,194.04,165.96,,,-4.5,,22,-4.87218045112782,,,,
46,26,0,198.97,161.03,,,-6.5,,22,-7.03759398496241,,,,
46,25,0,202.11,157.89,,,-7.5,,22,-8.1203007518797,,,,
44,24,0,205.77,154.23,,,-8.5,,20,-9.20300751879699,,,,
47,26,0,197.93,162.07,,,-6.5,,23,-7.03759398496241,,,,
45,22,0,208.74,151.26,,,-10.5,,21,-11.3684210526316,,,,
47,22,0,206.57,153.43,,,-10.5,,23,-11.3684210526316,,,,
47,23,0,205.2,154.8,,,-9.5,,23,-10.2857142857143,,,,
46,23,0,206.57,153.43,,,-9.5,,22,-10.2857142857143,,,,
47,19,0,212.91,147.09,,,-13.5,,23,-14.6165413533835,,,,
45,20,0,212.83,147.17,,,-12.5,,21,-13.5338345864662,,,,
48,17,0,215.54,144.46,,,-15.5,,24,-16.781954887218,,,,
47,18,0,215.22,144.78,,,-14.5,,23,-15.6992481203008,,,,
46,17,0,218,142,,,-15.5,,22,-16.781954887218,,,,
48,16,0,217.65,142.35,,,-16.5,,24,-17.8646616541353,,,,
45,16,0,221.05,138.95,,,-16.5,,21,-17.8646616541353,,,,
44,16,0,222.95,137.05,,,-16.5,,20,-17.8646616541353,,,,
44,13,0,226.91,133.09,,,-19.5,,20,-21.1127819548872,,,,
45,13,0,225,135,,,-19.5,,21,-21.1127819548872,,,,
45,13,0,225,135,,,-19.5,,21,-21.1127819548872,,,,
47,11,0,225,135,,,-21.5,,23,-23.2781954887218,,,,
43,9,0,232.88,127.12,,,-23.5,,19,-25.4436090225564,,,,
42,10,0,234.16,125.84,,,-22.5,,18,-24.3609022556391,,,,
45,11,0,227.64,132.36,,,-21.5,,21,-23.2781954887218,,,,
43,7,0,235.01,124.99,,,-25.5,,19,-27.609022556391,,,,
40,4,0,242.93,117.07,,,-28.5,,16,-30.8571428571429,,,,
39,5,0,242.9,117.1,,,-27.5,,15,-29.7744360902256,,,,
40,6,0,241.29,118.71,,,-26.5,,16,-28.6917293233083,,,,
38,5,0,245.06,114.94,,,-27.5,,14,-29.7744360902256,,,,
40,4,0,242.93,117.07,,,-28.5,,16,-30.8571428571429,,,,
37,3,0,247.56,112.44,,,-29.5,,13,-31.9398496240602,,,,
36,2,0,250.5,109.5,,,-30.5,,12,-33.0225563909774,,,,
34,3,0,253.07,106.93,,,-29.5,,10,-31.9398496240602,,,,
34,3,0,253.07,106.93,,,-29.5,,10,-31.9398496240602,,,,
33,0,0,255.7,104.3,,,-32.5,,9,-35.187969924812,,,,
31,0,0,258.91,101.09,,,-32.5,,7,-35.187969924812,,,,
31,-1,0,259.11,100.89,,,-33.5,,7,-36.2706766917293,,,,
29,-1,0,262.33,97.67,,,-33.5,,5,-36.2706766917293,,,,
27,-2,0,265.76,94.24,,,-34.5,,3,-37.3533834586466,,,,
25,-1,0,268.9,91.1,,,-33.5,,1,-36.2706766917293,,,,
25,-2,0,268.94,91.06,,,-34.5,,1,-37.3533834586466,,,,
24,-3,0,271.04,88.96,,,-35.5,,0,-38.4360902255639,,,,
22,-2,0,274.24,85.76,,,-34.5,,-2,-37.3533834586466,,,,
21,-2,0,275.29,84.71,,,-34.5,,-3,-37.3533834586466,,,,
19,-2,0,278.43,81.57,,,-34.5,,-5,-37.3533834586466,,,,
18,-3,0,280.3,79.7,,,-35.5,,-6,-38.4360902255639,,,,
17,-2,0,281.51,78.49,,,-34.5,,-7,-37.3533834586466,,,,
14,-2,0,286.5,73.5,,,-34.5,,-10,-37.3533834586466,,,,
14,0,0,287.42,72.58,,,-32.5,,-10,-35.187969924812,,,,
13,-2,0,287.47,72.53,,,-34.5,,-11,-37.3533834586466,,,,
12,-1,0,290.07,69.93,,,-33.5,,-12,-36.2706766917293,,,,
11,-1,0,291.04,68.96,,,-33.5,,-13,-36.2706766917293,,,,
9,1,0,295.14,64.86,,,-31.5,,-15,-34.1052631578947,,,,
9,-1,0,293.86,66.14,,,-33.5,,-15,-36.2706766917293,,,,
8,-1,0,295.68,64.32,,,-33.5,,-16,-36.2706766917293,,,,
10,1,0,294.18,65.82,,,-31.5,,-14,-34.1052631578947,,,,
7,0,0,297.01,62.99,,,-32.5,,-17,-35.187969924812,,,,
6,0,0,298.77,61.23,,,-32.5,,-18,-35.187969924812,,,,
5,3,0,302.23,57.77,,,-29.5,,-19,-31.9398496240602,,,,
5,3,0,302.23,57.77,,,-29.5,,-19,-31.9398496240602,,,,
4,3,0,303.98,56.02,,,-29.5,,-20,-31.9398496240602,,,,
3,5,0,306.66,53.34,,,-27.5,,-21,-29.7744360902256,,,,
3,6,0,307.3,52.7,,,-26.5,,-21,-28.6917293233083,,,,
3,6,0,307.3,52.7,,,-26.5,,-21,-28.6917293233083,,,,
2,7,0,310.36,49.64,,,-25.5,,-22,-27.609022556391,,,,
1,7,0,311.19,48.81,,,-25.5,,-23,-27.609022556391,,,,
1,8,0,311.91,48.09,,,-24.5,,-23,-26.5263157894737,,,,
1,8,0,311.91,48.09,,,-24.5,,-23,-26.5263157894737,,,,
-1,8,0,314.26,45.74,,,-24.5,,-25,-26.5263157894737,,,,
-1,9,0,315.76,44.24,,,-23.5,,-25,-25.4436090225564,,,,
-3,10,0,318.72,41.28,,,-22.5,,-27,-24.3609022556391,,,,
-2,10,0,318.01,41.99,,,-22.5,,-26,-24.3609022556391,,,,
-3,12,0,321.17,38.83,,,-20.5,,-27,-22.1954887218045,,,,
-3,12,0,321.17,38.83,,,-20.5,,-27,-22.1954887218045,,,,
-3,14,0,323.81,36.19,,,-18.5,,-27,-20.0300751879699,,,,
-3,12,0,321.17,38.83,,,-20.5,,-27,-22.1954887218045,,,,
-2,14,0,323.13,36.87,,,-18.5,,-26,-20.0300751879699,,,,
-3,13,0,322.91,37.09,,,-19.5,,-27,-21.1127819548872,,,,
-4,14,0,325.1,34.9,,,-18.5,,-28,-20.0300751879699,,,,
-3,15,0,325.67,34.33,,,-17.5,,-27,-18.9473684210526,,,,
-5,14,0,325.71,34.29,,,-18.5,,-29,-20.0300751879699,,,,
-3,15,0,325.67,34.33,,,-17.5,,-27,-18.9473684210526,,,,
-4,16,0,327.88,32.13,,,-16.5,,-28,-17.8646616541353,,,,
-5,16,0,328.47,31.53,,,-16.5,,-29,-17.8646616541353,,,,
-4,18,0,330.83,29.17,,,-14.5,,-28,-15.6992481203008,,,,
-2,17,0,327.99,32.01,,,-15.5,,-26,-16.781954887218,,,,
-2,18,0,329.04,30.96,,,-14.5,,-26,-15.6992481203008,,,,
-5,18,0,331.39,28.61,,,-14.5,,-29,-15.6992481203008,,,,
-3,17,0,328.63,31.37,,,-15.5,,-27,-16.781954887218,,,,
-3,22,0,337.48,22.52,,,-10.5,,-27,-11.3684210526316,,,,
-2,21,0,334.59,25.41,,,-11.5,,-26,-12.4511278195489,,,,
-4,21,0,336.16,23.84,,,-11.5,,-28,-12.4511278195489,,,,
-6,24,0,343.07,16.93,,,-8.5,,-30,-9.20300751879699,,,,
-3,24,0,341.15,18.85,,,-8.5,,-27,-9.20300751879699,,,,
-3,24,0,341.15,18.85,,,-8.5,,-27,-9.20300751879699,,,,
-2,26,0,344.62,15.38,,,-6.5,,-26,-7.03759398496241,,,,
-3,29,0,350.31,9.69,,,-3.5,,-27,-3.78947368421053,,,,
-2,30,0,352.88,7.13,,,-2.5,,-26,-2.70676691729323,,,,
-3,31,0,354.43,5.57,,,-1.5,,-27,-1.62406015037594,,,,
-2,32,0,357.14,2.86,,,-0.5,,-26,-0.541353383458647,,,,
-1,32,0,356.99,3.01,,,-0.5,,-25,-0.541353383458647,,,,
-2,31,0,354.29,5.71,,,-1.5,,-26,-1.62406015037594,,,,
-1,32,0,356.99,3.01,,,-0.5,,-25,-0.541353383458647,,,,
-1,31,0,353.99,6.01,,,-1.5,,-25,-1.62406015037594,,,,
1,35,0,3.27,-3.27,,,2.5,,-23,2.70676691729323,,,,
0,37,0,7.7,-7.7,,,4.5,,-24,4.87218045112782,,,,
1,34,0,1.64,-1.64,,,1.5,,-23,1.62406015037594,,,,
0,33,0,358.45,1.55,,,0.5,,-24,0.541353383458647,,,,
1,32,0,356.73,3.27,,,-0.5,,-23,-0.541353383458647,,,,
1,36,0,6.52,-6.52,,,3.5,,-23,3.78947368421053,,,,
0,34,0,1.55,-1.55,,,1.5,,-24,1.62406015037594,,,,
-1,35,0,3.01,-3.01,,,2.5,,-25,2.70676691729323,,,,
1,35,0,3.27,-3.27,,,2.5,,-23,2.70676691729323,,,,
2,35,0,3.37,-3.37,,,2.5,,-22,2.70676691729323,,,,
3,36,0,7.13,-7.13,,,3.5,,-21,3.78947368421053,,,,
1,36,0,6.52,-6.52,,,3.5,,-23,3.78947368421053,,,,
2,36,0,6.71,-6.71,,,3.5,,-22,3.78947368421053,,,,
3,38,0,12.34,-12.34,,,5.5,,-21,5.95488721804511,,,,
1,37,0,8.13,-8.13,,,4.5,,-23,4.87218045112782,,,,
3,38,0,12.34,-12.34,,,5.5,,-21,5.95488721804511,,,,
2,36,0,6.71,-6.71,,,3.5,,-22,3.78947368421053,,,,
2,38,0,11.63,-11.63,,,5.5,,-22,5.95488721804511,,,,
2,39,0,13.24,-13.24,,,6.5,,-22,7.03759398496241,,,,
3,38,0,12.34,-12.34,,,5.5,,-21,5.95488721804511,,,,
4,39,0,14.47,-14.47,,,6.5,,-20,7.03759398496241,,,,
4,36,0,7.35,-7.35,,,3.5,,-20,3.78947368421053,,,,
4,40,0,17.88,-17.88,,,7.5,,-20,8.1203007518797,,,,
6,39,0,15.95,-15.95,,,6.5,,-18,7.03759398496241,,,,
5,40,0,19.03,-19.03,,,7.5,,-19,8.1203007518797,,,,
4,39,0,14.47,-14.47,,,6.5,,-20,7.03759398496241,,,,
6,40,0,19.65,-19.65,,,7.5,,-18,8.1203007518797,,,,
6,39,0,15.95,-15.95,,,6.5,,-18,7.03759398496241,,,,
7,41,0,22.93,-22.93,,,8.5,,-17,9.20300751879699,,,,
6,41,0,21.45,-21.45,,,8.5,,-18,9.20300751879699,,,,
4,40,0,17.88,-17.88,,,7.5,,-20,8.1203007518797,,,,
6,39,0,15.95,-15.95,,,6.5,,-18,7.03759398496241,,,,
6,39,0,15.95,-15.95,,,6.5,,-18,7.03759398496241,,,,
7,41,0,22.93,-22.93,,,8.5,,-17,9.20300751879699,,,,
6,42,0,24.9,-24.9,,,9.5,,-18,10.2857142857143,,,,
6,42,0,24.9,-24.9,,,9.5,,-18,10.2857142857143,,,,
5,40,0,19.03,-19.03,,,7.5,,-19,8.1203007518797,,,,
6,39,0,15.95,-15.95,,,6.5,,-18,7.03759398496241,,,,
6,41,0,21.45,-21.45,,,8.5,,-18,9.20300751879699,,,,
7,40,0,21.04,-21.04,,,7.5,,-17,8.1203007518797,,,,
7,39,0,17.1,-17.1,,,6.5,,-17,7.03759398496241,,,,
5,39,0,15.42,-15.42,,,6.5,,-19,7.03759398496241,,,,
4,41,0,19.54,-19.54,,,8.5,,-20,9.20300751879699,,,,
5,39,0,15.42,-15.42,,,6.5,,-19,7.03759398496241,,,,
7,38,0,15.07,-15.07,,,5.5,,-17,5.95488721804511,,,,
6,39,0,15.95,-15.95,,,6.5,,-18,7.03759398496241,,,,
6,38,0,14.04,-14.04,,,5.5,,-18,5.95488721804511,,,,
5,38,0,13.57,-13.57,,,5.5,,-19,5.95488721804511,,,,
4,38,0,12.72,-12.72,,,5.5,,-20,5.95488721804511,,,,
6,41,0,21.45,-21.45,,,8.5,,-18,9.20300751879699,,,,
6,38,0,14.04,-14.04,,,5.5,,-18,5.95488721804511,,,,
6,39,0,15.95,-15.95,,,6.5,,-18,7.03759398496241,,,,
4,38,0,12.72,-12.72,,,5.5,,-20,5.95488721804511,,,,
4,38,0,12.72,-12.72,,,5.5,,-20,5.95488721804511,,,,
2,39,0,13.24,-13.24,,,6.5,,-22,7.03759398496241,,,,
3,37,0,8.88,-8.88,,,4.5,,-21,4.87218045112782,,,,
2,40,0,16.39,-16.39,,,7.5,,-22,8.1203007518797,,,,
4,38,0,12.72,-12.72,,,5.5,,-20,5.95488721804511,,,,
2,37,0,8.37,-8.37,,,4.5,,-22,4.87218045112782,,,,
4,39,0,14.47,-14.47,,,6.5,,-20,7.03759398496241,,,,
3,38,0,12.34,-12.34,,,5.5,,-21,5.95488721804511,,,,
3,37,0,8.88,-8.88,,,4.5,,-21,4.87218045112782,,,,
4,35,0,3.69,-3.69,,,2.5,,-20,2.70676691729323,,,,
0,37,0,7.7,-7.7,,,4.5,,-24,4.87218045112782,,,,
1,36,0,6.52,-6.52,,,3.5,,-23,3.78947368421053,,,,
1,34,0,1.64,-1.64,,,1.5,,-23,1.62406015037594,,,,
1,34,0,1.64,-1.64,,,1.5,,-23,1.62406015037594,,,,
1,34,0,1.64,-1.64,,,1.5,,-23,1.62406015037594,,,,
-1,34,0,1.51,-1.51,,,1.5,,-25,1.62406015037594,,,,
2,34,0,1.68,-1.68,,,1.5,,-22,1.62406015037594,,,,
-2,35,0,2.86,-2.86,,,2.5,,-26,2.70676691729323,,,,
1,35,0,3.27,-3.27,,,2.5,,-23,2.70676691729323,,,,
0,33,0,358.45,1.55,,,0.5,,-24,0.541353383458647,,,,
-1,34,0,1.51,-1.51,,,1.5,,-25,1.62406015037594,,,,
0,33,0,358.45,1.55,,,0.5,,-24,0.541353383458647,,,,
1,33,0,358.36,1.64,,,0.5,,-23,0.541353383458647,,,,
-1,33,0,358.49,1.51,,,0.5,,-25,0.541353383458647,,,,
-1,32,0,356.99,3.01,,,-0.5,,-25,-0.541353383458647,,,,
-1,32,0,356.99,3.01,,,-0.5,,-25,-0.541353383458647,,,,
1,32,0,356.73,3.27,,,-0.5,,-23,-0.541353383458647,,,,
0,33,0,358.45,1.55,,,0.5,,-24,0.541353383458647,,,,
-1,33,0,358.49,1.51,,,0.5,,-25,0.541353383458647,,,,
0,35,0,3.09,-3.09,,,2.5,,-24,2.70676691729323,,,,
0,33,0,358.45,1.55,,,0.5,,-24,0.541353383458647,,,,
-1,35,0,3.01,-3.01,,,2.5,,-25,2.70676691729323,,,,
-2,33,0,358.57,1.43,,,0.5,,-26,0.541353383458647,,,,
-2,33,0,358.57,1.43,,,0.5,,-26,0.541353383458647,,,,
2,35,0,3.37,-3.37,,,2.5,,-22,2.70676691729323,,,,
2,35,0,3.37,-3.37,,,2.5,,-22,2.70676691729323,,,,
1,34,0,1.64,-1.64,,,1.5,,-23,1.62406015037594,,,,
4,35,0,3.69,-3.69,,,2.5,,-20,2.70676691729323,,,,
1,35,0,3.27,-3.27,,,2.5,,-23,2.70676691729323,,,,
2,36,0,6.71,-6.71,,,3.5,,-22,3.78947368421053,,,,
2,35,0,3.37,-3.37,,,2.5,,-22,2.70676691729323,,,,
1,36,0,6.52,-6.52,,,3.5,,-23,3.78947368421053,,,,
0,35,0,3.09,-3.09,,,2.5,,-24,2.70676691729323,,,,
